,VSI_Motor_Speed_RR,VSI_Motor_Speed_RL,VSI_Motor_Speed_FR,VSI_Motor_Speed_FL,VSI_TrqFeedback_RR,VSI_TrqFeedback_RL,VSI_TrqFeedback_FR,VSI_TrqFeedback_FL,MISC_Pos_Trq_Limit_RR,MISC_Pos_Trq_Limit_RL,MISC_Pos_Trq_Limit_FR,MISC_Pos_Trq_Limit_FL,MISC_Neg_Trq_Limit_RR,MISC_Neg_Trq_Limit_RL,MISC_Neg_Trq_Limit_FR,MISC_Neg_Trq_Limit_FL
139.52,9388.0,8190.0,7148.0,8294.0,10.60752,10.86624,11.25432,11.12496,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.53,9393.0,8058.0,7143.0,8355.0,11.38368,10.60752,11.12496,11.38368,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.54,9400.0,8183.0,7156.0,8282.0,10.9956,11.12496,10.86624,10.73688,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.55,9423.0,8101.0,7149.0,8375.0,11.25432,10.60752,10.9956,11.12496,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.56,9395.0,8147.0,7161.0,8262.0,11.12496,10.86624,11.25432,10.73688,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.57,9427.0,8132.0,7154.0,8379.0,11.38368,10.86624,10.86624,11.51304,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.58,9389.0,8144.0,7139.0,8287.0,10.3488,10.9956,10.86624,10.9956,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.59,9375.0,8143.0,7142.0,8361.0,11.12496,10.86624,10.9956,10.73688,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.6,9395.0,8134.0,7144.0,8270.0,11.12496,11.12496,10.73688,10.60752,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
139.61,9411.0,8168.0,7156.0,8370.0,11.25432,10.47816,11.12496,11.12496,8.69625,8.69625,8.69625,8.69625,-0.19325,-0.19325,-0.19325,-0.19325
